Date,Flavor
"2018-06-01","Sweet Cream"
"2018-06-02","Mint Chocolate Chip"
"2018-06-03","Chocolate Malt"
"2018-06-04","Burgundy Cherry"
"2018-06-05","Pina Colada"
"2018-06-06","Butter Pecan"
"2018-06-07","Pistachio"
"2018-06-08","Blueberry"
"2018-06-09","Peanut Butter"
"2018-06-10","Strawberry"
"2018-06-11","Jamocha"
"2018-06-12","Banana Pudding"
"2018-06-13","Peach"
"2018-06-14","Nutella"
"2018-06-15","Chocolate Chip Cookie Dough"
"2018-06-16","Coconut"
"2018-06-17","Butter Pecan"
"2018-06-18","Chocolate Malt"
"2018-06-19","Salted Caramel"
"2018-06-20","Pistachio"
"2018-06-21","Lemon"
"2018-06-22","Raspberry"
"2018-06-23","Burgundy Cherry"
"2018-06-24","Chocolate Chip Cookie Dough"
"2018-06-25","Mint Chocolate Chip"
"2018-06-26","Peanut Butter"
"2018-06-27","Coconut"
"2018-06-28","Strawberry"
"2018-06-29","Jamocha"
"2018-06-30","Banana Pudding"
"2018-07-01","Sweet Cream"
"2018-07-02","Pistachio"
"2018-07-03","Chocolate Malt"
"2018-07-04","Blueberry"
"2018-07-05","Butter Pecan"
"2018-07-06","Burgundy Cherry"
"2018-07-07","Nutella"
"2018-07-08","Banana Pudding"
"2018-07-09","Coconut"
"2018-07-10","Jamocha"
"2018-07-11","Chocolate Chip Cookie Dough"
"2018-07-12","Strawberry"
"2018-07-13","Mint Chocolate Chip"
"2018-07-14","Birthday Cake"
"2018-07-15","Salted Caramel"
"2018-07-16","Raspberry"
"2018-07-17","Lemon"
"2018-07-18","Pina Colada"
"2018-07-19","Cheesecake"
"2018-07-20","Peanut Butter"
"2018-07-21","Peach"
"2018-07-22","Butter Pecan"
"2018-07-23","Jamocha"
"2018-07-24","Strawberry"
"2018-07-25","Birthday Cake"
"2018-07-26","Chocolate Malt"
"2018-07-27","Coconut"
"2018-07-28","Chocolate Chip Cookie Dough"
"2018-07-29","Mint Chocolate Chip"
"2018-07-30","Banana Pudding"
"2018-07-31","Peanut Butter"
"2018-08-01","Sweet Cream"
"2018-08-02","Pistachio"
"2018-08-03","Jamocha"
"2018-08-04","Chocolate Chip Cookie Dough"
"2018-08-05","Peach"
"2018-08-06","Salted Caramel"
"2018-08-07","Strawberry"
"2018-08-08","Chocolate Malt"
"2018-08-09","Lemon"
"2018-08-10","Coconut"
"2018-08-11","Birthday Cake"
"2018-08-12","Mint Chocolate Chip"
"2018-08-13","Raspberry"
"2018-08-14","Peanut Butter"
"2018-08-15","Burgundy Cherry"
"2018-08-16","Blueberry"
"2018-08-17","Banana Pudding"
"2018-08-18","Butter Pecan"
"2018-08-19","Pistachio"
"2018-08-20","Chocolate Chip Cookie Dough"
"2018-08-21","Birthday Cake"
"2018-08-22","Jamocha"
"2018-08-23","Nutella"
"2018-08-24","Strawberry"
"2018-08-25","Peanut Butter"
"2018-08-26","Coconut"
"2018-08-27","Cheesecake"
"2018-08-28","Burgundy Cherry"
"2018-08-29","Butter Pecan"
"2018-08-30","Mint Chocolate Chip"
"2018-08-31","Chocolate Malt"
